	affiliation	affiliationMag	if_same
4143	p.w. ramwell center for vascular biology 44 adams drive department of cell biology cresskill, nj 07626, usa	university of connecticut health center	0
4144	p.w. ramwell center for vascular biology 44 adams drive department of physiology cresskill, nj 07626, usa	university of connecticut health center	0
4145	department of physiology, university of kuopio, p.o. box 1627, fi-70211, finland	university of eastern finland	0
4146	neema, md department of anaesthesiology sree chitra tirunal institute for medical sciences and technology kerala, india	indian institute of technology guwahati	0
4148	md, phd, fccp department of anesthesia and pain medicine division of cardiac anesthesia the hospital for sick children university of toronto toronto, canada	boston children s hospital	0
4151	md department of anaesthesia london health sciences centre london, ontario, canada	university of western ontario	0
4152	md associate professor, anesthesiology and critical care unwers~ty of chicago charles beatue, phd, md professor and	university of illinois at chicago	0
4153	neema, md department of anaesthesiology sree chitra tirunal institute for medical sciences and technology kerala, india	post graduate institute of medical education and research	0
4157	md professor of anesthesiology hadassahuniversityhospital atmountscopus jerusalem, israel	hebrew university of jerusalem	0
4158	md professor of anesthesiology hadassah university hospital at mount scopus jerusalem, israel	hebrew university of jerusalem	0
4159	neema, md department of anaesthesiology sree chitra tirunal institute for medical sciences and technology kerala, india	indian institutes of technology	0
4160	neema, md department of anaesthesiology sree chitra tirunal institute for medical sciences and technology kerala, india	birla institute of technology and science	0
4161	md, phd cardiac calendar and international affairs professor of anesthesiology ichan school of medicine at mount sinai, new york, new york	mount sinai hospital	0
4162	md, phd cardiac calendar and international affairs professor of anesthesiology mount sinai school of medicine, new york, new york	mount sinai hospital	0
4163	md, phd cardiac calendar and institutional affairs professor of anesthesiology mount sinai school of medicine, new york, new york	mount sinai hospital	0
4164	neema, md department of anaesthesiology sree chitra tirunal institute for medical sciences and technology kerala, india	indian institute of technology roorkee	0
4165	neema, md department of anaesthesiology sree chitra tirunal institute for medical sciences and technology kerala, india	delft university of technology	0
4167	neema, md department of anaesthesiology sree chitra tirunal institute for medical sciences and technology kerala, india	indian institute of information technology allahabad	0
4173	the manchester school of accounting and finance, university of manchester, oxford road, manchester, m13 9pl, uk	university of oxford	0
4180	md portland, oregon science ponciano d. cruz, jr, md dallas, texas case reports jane grant-kels, md volume	oregon health science university	0
4181	m medical universijournal of the american academy of dermatology , md of south carolina rolina of south carolina	the commonwealth medical college	0
4182	m ackerman acadejournal of the american academy of dermatology , md of south carolina rolina y of dermatopathology	medical university of south carolina	0
4184	m ackerman academjournal of the american academy of dermatology , md of south carolina rolina y of dermatopathology	medical university of south carolina	0
4185	university college, london, uk	queen mary university of london	0
4189	korea university, seoul, republic of korea a. pekerti, university of queensland, brisbane, australia	seoul national university	0
4193	university of maryland, college park, md, usa	albert einstein college of medicine	0
4195	korea university, seoul, republic of korea a. pekerti, university of queensland, brisbane, australia	seoul national university hospital	0
4197	energy and resources research institute, the university of leeds, leeds ls2 9jt, uk	atomic energy of canada limited	0
4198	department of fuel and energy, the university of leeds, leeds ls2 9jt, uk	missouri university of science and technology	0
4199	college of engineering and mathematics, 109 votey building, the university of vermont, burlington, vt 05405 - 0156, usa	university college london	0
4202	shatin, nt, hong kong	the chinese university of hong kong	0
4203	shatin, nt, hong kong, china	the chinese university of hong kong	0
4210	shatin, nt, hong kong, china	hong kong polytechnic university	0
4216	shatin, nt, hong kong	hong kong department of health	0
4218	technical university of braunschweig, postfach 3329, d-38023 braunschweig, germany	czech technical university in prague	0
4219	institute of algebra and number theory, university of stuttgart, pfaffenwaldring 57, 70569 stuttgart, germany	karlsruhe institute of technology	0
4220	state university of new york, binghamton	binghamton university	0
4221	5tate university of new york at binghamton stewart clegg university of western sydney, macarthur manfred f.r. kets de vries fn5md	binghamton university	0
4222	state university of new york at binghamton stewart clegg university of technology, sydney manfred f.r. kets de vries insead	binghamton university	0
4223	state university of new york at binghamton, ny john m. jermier, university of south florida	binghamton university	0
4224	state university of new york at binghamton, ny john m. jermier, university o	binghamton university	0
4225	state university of new york at binghamton, ny john m. jermier, university of south florida, tampa, fl russe	binghamton university	0
4226	state university of new y ork at buffalo da vid da y , pennsylvania state university ronald deluga, bryant college reinout de vries, university of amsterdam, the netherlands	university at buffalo	0
4228	state university of new york at buffalo, ny mary uhl-bien, university of nebarska - lincoln, ne david waldman, arizona state university west, phoenix, az, usa	university at buffalo	0
4229	nova school of busines and economics, lisbon, portugal	university of lisbon	0
4230	state university of new york at binghamton stewart clegg university of western sydney, macarthur manfred f.r. kets de vries /nsmd	binghamton university	0
4232	new mexico	new mexico state university	0
4234	state university of new york at buffalo, ny marie dasborough, university of miami, fl david day, university of western australia, perth, wa, australia	university at buffalo	0
4236	arizona state university, tempe, usa	utah state university	0
4238	arizona state university, tempe, usa	montana state university	0
4240	state university of new york at binghamton, ny john m. jermier, university of so	binghamton university	0
4241	m.d., ph.d., frcpe queens college-cuny new york, ny, usa	city university of new york	0
4242	new york, ny, usa	city university of new york	0
4243	los angeles, ca, us	university of california los angeles	0
4244	m.d. tel aviv, israel	tel aviv university	0
4245	, m.d., m.ph. los angeles, cajacob a. brody , m.d. chicago, ilchristian cabrol, m.d., ph.d.paris, france	university of california los angeles	0
4246	m.d., m.p.h. los angeles, ca jacob a. brody, m.d. chicago, il christian cabrol, m.d., ph.d. paris, france	university of california los angeles	0
4247	m.d., ph.d. queens college-cuny new york, ny, usa	city university of new york	0
4248	national center for geriatrics and geronotology, obu city, japan	japan agency for marine earth science and technology	0
4261	tokyo university of science	tokyo metropolitan university	0
4262	the university of hong kong, china	east china university of science and technology	0
4263	obayashi corporation shotaro yamada, nagoya university jun yang, the university of hong kong, hong kong	nagoya institute of technology	0
4266	beijing university of traditional chinese medicine, china	chinese academy of sciences	0
4267	school of chinese medicine, hong kong	hong kong baptist university	0
4268	beijing university of traditional chinese medicine, china	china university of petroleum	0
4270	beijing university of traditional chinese medicine, china	beijing university of technology	0
4271	beijing university of traditional chinese medicine, china	china pharmaceutical university	0
4272	beijing university of traditional chinese medicine, china	beijing normal university	0
4273	kyung hee university, seoul, korea prof. karin kraft, universita$?t rostock, germany	seoul national university	0
4274	kyung hee university, seoul, korea kun hyung kim, pusan national university, busan, south korea prof. karin kraft, universita$?t rostock, germany	seoul national university	0
4275	kyung hee university, seoul, korea prof. karin kraft, universita$?t rostock, germany	korea university of science and technology	0
4276	kyung hee university, seoul, korea kun hyung kim, pusan national university, busan, south korea prof. karin kraft, universita$?t rostock, germany	korea university of science and technology	0
4277	beijing university of traditional chinese medicine, china	university of science and technology of china	0
4278	kyung hee university, seoul, korea dr. kun hyung kim, pusan national university, busan, south korea prof. karin kraft, universita$?t rostock, germany	hankyong national university	0
4279	kyung hee university, seoul, korea dr. kun hyung kim, pusan national university, busan, south korea prof. shahar lev-ari, tel-aviv sourasky medical center, israel	seoul national university	0
4280	kyung hee university, seoul, korea dr. kun hyung kim, pusan national university, busan, south korea prof. karin kraft, universita$?t rostock, germany	seoul national university	0
4283	western sydney university, australia	university of sydney	0
4284	national cheng kung university, taiwan dr. hugh macpherson, department of health sciences, university of york, uk	national sun yat sen university	0
4285	kyung hee university, seoul, korea kun hyung kim, pusan national university, busan, south korea prof. karin kraft, universita$?t rostock, germany	hankyong national university	0
4286	beijing university of traditional chinese medicine, china	east china jiaotong university	0
4287	atmospheric sciences university of iowa, iowa city, iowa, usa	chinese academy of sciences	0
4288	sedimentology, hydraulics, hydrodynamics southern university of science and technology, guangdong, china	huazhong university of science and technology	0
4289	atmospheric sciences university of iowa, iowa city, iowa, usa	city university of hong kong	0
4290	atmospheric sciences university of iowa, iowa city, iowa, usa	university of oklahoma health sciences center	0
4291	atmospheric sciences university of iowa, iowa city, iowa, usa	academy of medical sciences united kingdom	0
4292	atmospheric sciences university of iowa, iowa city, iowa, usa	chinese academy of fishery sciences	0
4293	atmospheric sciences university of iowa, iowa city, iowa, usa	chinese academy of tropical agricultural sciences	0
4294	instrtut national de la recherche agronom=que, rennes france	centre national de la recherche scientifique	0
4295	college of biosystems engineering and food science, zhejiang university, hangzhou, china	university of maryland college park	0
4297	institut national de la recherche agronomique, rennes, france	centre national de la recherche scientifique	0
4298	university of dundee, scotland s. fivelstad, bergen college, bergen, norway	queen s university	0
4299	college of tropical agriculture, university of hawaii at manoa, honolulu, usa	baylor college of medicine	0
4300	college of troprcal agnculture. unrversrty of hawarr at manoa. honolulu, usa	university of maryland college park	0
4301	institut national de la recherche agronomique, rennes, france	college de france	0
4302	instrtut national de la recherche agronom=que, rennes france	college de france	0
4303	college of biosystems engineering and food science, zhejiang university, hangzhou, china	south china agricultural university	0
4304	t. borresen institut national de la recherche agronomique, ministry of fisheries, technical university, rennes, france	centre national de la recherche scientifique	0
4305	the norwegian institute of technology, the university of trondheirn, norway	norwegian university of science and technology	0
4306	college of tropical agriculture, university of hawaii at manoa, honolulu, usa	university of texas at austin	0
4307	college of tropical agriculture, university of hawaii at manoa, honolulu, usa	university of illinois at urbana champaign	0
4308	college of tropical agriculture, university of hawaii at manoa, honolulu, usa	university of illinois at chicago	0
4309	college of tropical agriculture, university of hawaii at manoa, honolulu, usa	university of texas at arlington	0
4310	college of troprcal agnculture. unrversrty of hawarr at manoa. honolulu, usa	university of illinois at urbana champaign	0
4311	college of tropical agriculture, university of hawaii at manoa, honolulu, usa	bourns college of engineering	0
4313	fudan university, shanghai, china	shanghai jiao tong university	0
4315	university of california lrvine, lrvine, usa	university of california berkeley	0
4317	case western, usa	case western reserve university	0
4318	bloomington, indiana, usa	indiana university bloomington	0
4319	west virginia, usa	west virginia university	0
4321	fudan university, shanghai, china	civil aviation university of china	0
4330	department of chemistry, national taiwan frantisek svec, the molecular foundry, e.o. lawrence berkeley national laboratory, berkeley, usa	national taiwan university	0
4333	barts and the london school of medicine and education, queen mary university of london, uk	guru jambheshwar university of science and technology	0
4335	barts and the london school of medicine and education, queen mary university of london, uk	lala lajpat rai university of veterinary and animal sciences	0
4336	department of chemistry, tsinghua university, beijing, china	beijing institute of genomics	0
4342	harvard school of public health, d	national institutes of health	0
4343	harvard school of public health boston, usa	national institutes of health	0
4345	mcmaster university, department of biology, canada	washington state department of health	0
4346	harvard school of public health, department of society, human development and health, us	national institutes of health	0
4347	harvard school of public health, department of society, human development and hea	national institutes of health	0
4350	h.r. gelderblom and p.a. reichart 697 science of microscopy r.f. egerton (continued from outside back cover) jmic ifc 38(6).qxdinner cover 4/11/07 1125 am page 1	kunming university of science and technology	0
4351	h.r. gelderblom and p.a. reichart 697 science of microscopy r.f. egerton (continued from outside back cover) jmic ifc 38(6).qxdinner cover 4/11/07 1125 am page 1	university of texas health science center at houston	0
4354	h.r. gelderblom and p.a. reichart 697 science of microscopy r.f. egerton (continued from outside back cover) jmic ifc 38(6).qxdinner cover 4/11/07 1125 am page 1	east china university of science and technology	0
4355	huazhong university of science and technology, wuhan, hubei, china	wuhan university of science and technology	0
4356	hong kong, china	university of hong kong	0
4357	stevens institute of technology, hoboken, new jersey, usa	guilin university of technology	0
4362	stanford university jinyan li university of technology sydney sebastian link university of auckland, auckland, new zealand	new mexico state university	0
4363	stanford university jinyan li university of technology sydney sebastian link university of auckland, auckland, new zealand	hebei university of technology	0
4365	stanford university jinyan li university of technology sydney sebastian link university of auckland, auckland, new zealand	huazhong university of science and technology	0
4368	stevens institute of technology, hoboken, new jersey, usa	henan university of science and technology	0
4369	stevens institute of technology, hoboken, new jersey, usa	beijing university of technology	0
4371	chinese academy of sciences, dalian, china	the university of nottingham ningbo china	0
4372	peking university, beijing, china	university of south china	0
4373	new york university shanghai, shanghai, china	north china university of technology	0
4374	new york university shanghai, shanghai, china	china medical university	0
4375	new york university shanghai, shanghai, china	china three gorges university	0
4376	new york university shanghai, shanghai, china	shanghai jiao tong university	0
4378	southeast university, nanjing, china	nanjing forestry university	0
4379	peking university, beijing, china	china medical university	0
4380	peking university, beijing, china	south china university of technology	0
4381	southeast university, nanjing, china	minzu university of china	0
4382	national renewable energy laboratory (nrel), golden, co, usa	brookhaven national laboratory	0
4383	national renewable energy laboratory (nrel), golden, co, usa	slac national accelerator laboratory	0
4384	the university of new south wales, australia	university of medicine and dentistry of new jersey	0
4385	national taiwan university, taipei, taiwan x. lin drexel university, usa	national university of singapore	0
4386	dalian university of technology, china	huazhong university of science and technology	0
4387	dalian university of technology, china	lanzhou university of technology	0
4388	dalian university of technology, china	dalian maritime university	0
4390	dalian university of technology, china	missouri university of science and technology	0
4391	dalian university of technology, china	south china university of technology	0
4392	san francisco, usa	university of california san francisco	0
4393	san francisco, california, usa	university of california san francisco	0
4394	2a~ta barbara, california alan j. hoffman, yorktown heights, new yo~k marvin marcus, santa barbara, california viastmil pthk, praha, czech republic	university of california santa barbara	0
4395	division of 4pphed mathematics research institute of apphed electricity hokkaido university sapporo 060 japan	japan atomic energy research institute	0
4396	division of applied matlrenratic5 besearch institute of applied electricity hokkaido ttrriversitv sai)exwo ()6(). japan	japan atomic energy research institute	0
4397	division of applied mathematics research institute of applied electricity hokkaido university sapporo 060, japan	japan atomic energy research institute	0
4398	division of applied matlieinatics iieseareh institute of apphed f1-et rteity flokkaklo 6niversity sapporo 060. japan	japan atomic energy research institute	0
4399	division of applied mathematics research institute of applied electricity hokkaido university sapporo 080, japan	japan atomic energy research institute	0
4400	laboratory of inlorination wlthenutic! research lnstihite for electronic science hokkaido universitv sappilro ono, japan	japan atomic energy research institute	0
4401	laboratory of information mathematics research institute for electronic science hokkaido university sapporo 060, japan	japan atomic energy research institute	0
4402	eahor;etorv of~ informatieni mathematies scarch institute for electronie science ilokkeiclo university sapporo 060. japan	japan atomic energy research institute	0
4403	laboratory of information mathematics research institute firr electronic science hokkaido university sapporo 060, japan	japan atomic energy research institute	0
4404	laboratory of information mathematics researcb institute for electronic science hokkaido university sapporo 060, japan	japan atomic energy research institute	0
4412	laboratory of information mathematics research institute for electronic science hokkaido university sapporo o60,japan	japan atomic energy research institute	0
4413	division of applied mathematics research institute of applied electricity h university sap- poro 060, japan	japan atomic energy research institute	0
4414	division of applied mathematics research institute of applied electricity hokkaido university sapporo o, japan	japan atomic energy research institute	0
4415	laboratory of information mathematics research institute for electronic science hokkaido university sapporo (160, japan	japan atomic energy research institute	0
4416	laboratory of information mathematics research institute for electronic science hokkaido university sapporn 060, japan	japan atomic energy research institute	0
4417	laboratory of information mathematics research institute for electronic science hokkaido universitv sapporo 060, japan	japan atomic energy research institute	0
4418	laboratoxy of information matbematics research institute for electronie science hokkaido university sapporo 060, japan	japan atomic energy research institute	0
4427	division of applied matheinatics researeh institute of applied electricity hokkaido university sapporo 060, japan	japan atomic energy research institute	0
4428	division of applied mathematics research institute of applied electricity hokkaido university sapporo o japan	japan atomic energy research institute	0
4429	paul a. fuhrmann raphael i.oewy division of applied mathematics department of mathematics department of mathematics research institute of applied ben gurion university technion-israel	japan atomic energy research institute	0
4430	division of applied mathematics research histitute of applied electricity hokkaido university sapporo 060, japan	japan atomic energy research institute	0
4431	division of applied mathematics research institute of applied electricity hokkaido university sapporo 06(1, japan	japan atomic energy research institute	0
4433	division of applied mathemath research institute of applied electricity hokkaido university sapporo 080, japan	japan atomic energy research institute	0
4434	division of applied mathematics research institute of applied electricity hokkaido university sapporo 000, japan	japan atomic energy research institute	0
4440	division of applied mathematics research institute of applied electricity hokkaido university sapporo 080, japan	international rice research institute	0
4441	division of applied mathematics research institute of applied electricity hokkaida university sapporo 060, japan	international rice research institute	0
4442	division of applied mathematics research institute of applied electricity hokkaido university sapporo 060, japan	tokyo institute of technology	0
4444	fakultaet fuer mathematik tu chemnitz-zwickau d-09107 chemnitz, federal republic of germany	chemnitz university of technology	0
4445	fakultaet fuer mathematik tu chemnitz d-09107 chemnitz, federal republic of germany	chemnitz university of technology	0
4446	fakultaet fuer mathematik tu chcmnitz d-09107 chemnitz, federal republic of germany	chemnitz university of technology	0
4447	fakult fdr mathematik tu chemnitz d-09107 chemnitz, federal republic of germany	chemnitz university of technology	0
4448	fakult fi mathematik tu chemnitz d-09107 chemnitz, federal republic of germany	chemnitz university of technology	0
4449	fakultaet tuer mathematik tu chemnitz d-09107 chemnitz, federal republic of germany	chemnitz university of technology	0
4458	division of applied mttltetttatics research institute of applied electricity hokkaido l'ttiversity sapporo o(. japan	japan atomic energy research institute	0
4459	division of applied mathematics research institute of applied eirciricity lio,;kaidn university sappwo , japan	japan atomic energy research institute	0
4470	division of applied mathematics research institute of applied electricity hokkaida university sapporo 060, japan	japan atomic energy research institute	0
4486	technology and society laboratory, empa-materials science & technology, lerchenfeldstrasse 5, professor charles wong canada	swiss federal laboratories for materials science and technology	0
4487	kanaskts centre for enwronmental research, university of calgary. alberta, canada	alberta research council	0
4490	sun yat-sen university, guangzhou, china	china university of political science and law	0
4491	yat-sen university, guangzhou, china	ocean university of china	0
4492	ministry of agriculture, fisheries & food, remembrance ave, essex, cmo 8ha m. moore department of biological sciences, wellesley college, massachusetts, usa	japanese ministry of agriculture forestry and fisheries	0
4493	ministry of agriculture, fisheries & food, remembrance ave, essex, uk, cmo bha m. moore department of biological sciences, wellesley college, massachusetts, usa	japanese ministry of agriculture forestry and fisheries	0
4494	ministry of agriculture, fisheries & food, remembrance ave, essex, cm0 8ha m. moore department of biological sciences, wellesley college, massachusetts, usa	japanese ministry of agriculture forestry and fisheries	0
4496	institute of occupational medicine, lodz, poland	new york academy of medicine	0
4497	ministry of agriculture, fisheries & food, remembrance ave, essex, uk, cmo 8ha m. moore department of biological sciences, wellesley college, massachusetts, usa	directorate of fisheries	0
4498	ministry of agriculture, fisheries & food, remembrance ave, essex, uk, cm0 8ha m. moore department of biological sciences, wellesley college, massachusetts, usa	directorate of fisheries	0
4499	sun yat-sen university, guangzhou, china	university of south china	0
4500	shanghai institute of plant physiology, academia sinica, shanghai, china	dalian institute of chemical physics	0
4512	ph.d. university of tennessee health science center memphis, tennessee, usa	national institutes of health	0
4514	ph.d. louisiana state university health sciences center shreveport, louisiana, usa	mississippi state university	0
4516	college park, md, usa	university of maryland college park	0
4517	civil aviation university of china, tianjin, china	south china normal university	0
4519	british nuclear fuels plc, sellafield, u.k. m.-s. yim, n.c. state university, nc, u.s.a.	florida state university	0
4521	trinity college, dublin, ireland	university college dublin	0
4522	national chengchi university, taipei, taiwan p. iroghama, university of benin, benin, nigeria	national tsing hua university	0
4525	the graduate schooi and university center, new york, usa	city university of new york	0
4528	school of european studies university of wales, cardiff po box 908 cardiff cf1 3yq, uk	cardiff university	0
4529	national chengchi university, taipei, taiwan simon hug, university of geneva, switzerland	national kaohsiung university of applied sciences	0
4530	national chengchi university, taipei, taiwan simon hug, university of geneva, switzerland	national chiao tung university	0
4532	national chengchi university, taipei, taiwan p. iroghama, university of benin, benin, nigeria	national cheng kung university	0
4537	university of hawaii at manoa department of political science 2424 me way social sciences building, honolulu, hawaii, hi 96822-2223 usa	university of illinois at chicago	0
4544	seoul national university, korea maano ramutsindela university of cape town, south africa	national university of singapore	0
4546	school of scoial and cultural studies university of western australia	university of western ontario	0
4558	national university of ireland, maynooth, ireland	maynooth university	0
4559	national university of ireland, maynooth kristian gleditsch university of essex, uk	maynooth university	0
4560	north carolina state university raleigh, usa	wayne state university	0
4565	los angeles eric a. klein, cleveland philip s. li, new york france	university of california los angeles	0
4566	los angeles xin gao, guangzhou martin e. gleave, vancouver andreas j. gross, hamburg narmada p. gupta, delhi jia he, shanghai jian huang, guangzhou lap hong ian, macao	university of california los angeles	0
4567	los angeles xin gao, guangzhou martin e. gleave, vancouver andreas j. gross, hamburg narmada p. gupta, delhi jia he, shanghai jian huang, guangzhou lap hong ian, ma	university of california los angeles	0
4568	seoul, the republic of korea j.s. klassen alberta, canada	the catholic university of america	0
4569	seoul, the republic of korea j.s. klassen alberta, canada	catholic university of korea	0
4571	korea research institute of bioscience & biotechnology, daejon, south korea emilia labrador, universidad de salamanca, salamanca, spain	korea university of science and technology	0
4575	hungarian academy of sciences, budapest, hungary	corvinus university of budapest	0
4578	(chinese academy of science, shanghai, china	guangzhou university of chinese medicine	0
4579	(chinese academy of science, shanghai, china	university of science and technology of china	0
4580	(new york) daniel wolpert (uk	new york university	0
4583	the cyprus	the cyprus institute	0
4584	wayne state, usa	wayne state university	0
4589	shanghai jiao tong university, shanghai, china	university of science and technology of china	0
4592	institut hautes ea'tudes scientifiques 35, rue de chartres 91440 bue+res-sur-yvette, france	college de france	0
4594	florida gulf coast university, naples, florida, usa	university of florida	0
4595	institute of geographic sciences & natural resources research, beijing, china	beijing university of chemical technology	0
4596	school of agricultural and forest sciences, university college of north wales, bangor, uk	bangor university	0
4597	institute of geographic sciences & natural resources research, beijing, china	university of science and technology of china	0
4598	department of rural development, brandon university, brandon, manitoba, canada	university of manitoba	0
4599	institute of geographic sciences & natural resources research, beijing, china	ocean university of china	0
4600	institute of geographic sciences & natural resources research, beijing, china	university of electronic science and technology of china	0
4601	institute of geographic sciences & natural resources research, beijing, china	chinese academy of sciences	0
4602	institute of geographic sciences & natural resources research, beijing, china	south china university of technology	0
4603	institute of geographic sciences & natural resources research, beijing, china	academy of medical sciences united kingdom	0
4604	institute of geographic sciences & natural resources research, beijing, china	university of oklahoma health sciences center	0
4605	institute of geographic sciences & natural resources research, beijing, china	chinese academy of tropical agricultural sciences	0
4606	institute of geographic sciences & natural resources research, beijing, china	chinese academy of social sciences	0
4607	institute of geographic sciences & natural resources research, beijing, china	beijing university of civil engineering and architecture	0
4608	(city university hong kong	university of hong kong	0
4609	department of geography, the university of auckland, private bag 92019, auckland, new zealand	the chinese university of hong kong	0
4613	university of texas health science center houston, tx, usa	university of tennessee health science center	0
4621	harbin institute of technology, china	georgia institute of technology	0
4622	harbin institute of technology, china	huazhong university of science and technology	0
4623	harbin institute of technology, china	lanzhou university of technology	0
4624	harbin institute of technology, china	tianjin university of science and technology	0
4625	harbin institute of technology, china	state grid corporation of china	0
4626	harbin institute of technology, china	university of science and technology of china	0
4627	harbin institute of technology, china	ocean university of china	0
4628	harbin institute of technology, china	wuhan university of science and technology	0
4629	harbin institute of technology, china	hebei university of technology	0
4630	stanford university, stanford, california, usa	university of california los angeles	0
4631	huazhong university of science and technology, wuhan, china	civil aviation university of china	0
4632	chinese academy of sciences (cas), beijing, china	minzu university of china	0
4633	university of technology sydney, broadway, new south wales, australia	south china university of technology	0
4634	university of technology sydney, sydney, new south wales, australia	south china university of technology	0
4635	shanghai normal university, shanghai, china	shanghai jiao tong university	0
4636	huazhong university of science and technology, wuhan, china	nanjing institute of technology	0
4637	chinese academy of sciences (cas), beijing, china	china university of technology	0
4638	chinese academy of sciences (cas), shenyang, china	china university of technology	0
4639	chinese academy of sciences (cas), beijing, china	chinese ministry of health	0
4640	chinese academy of sciences (cas), shenyang, china	chinese ministry of health	0
4642	senior lecturer and honorary consultant pathologist royal infirmary of edinburgh, uk	university of edinburgh	0
4643	mbchb(hon) phd frcpe mrcpath senior lecturer and honorary consultant pathologist royal infi rmary of edinburgh, uk	university of edinburgh	0
4644	senior lecturer and honorary consultant pathologist royal infi rmary of edinburgh, uk	university of edinburgh	0
4645	mbchb(hon) phd frcpe frcpath consultant and honorary reader in pathology, royal infirmary of edinburgh, uk	university of edinburgh	0
4646	senior lecturer and honorary consultant pathologist royal infirmary of edinburgh, uk	london school of economics and political science	0
4647	mbchb(hon) phd frcpe mrcpath senior lecturer and honorary consultant pathologist royal infi rmary of edinburgh, uk	london school of economics and political science	0
4648	senior lecturer and honorary consultant pathologist royal infi rmary of edinburgh, uk	london school of economics and political science	0
4650	mbchb(hon) phd frcpe frcpath consultant pathologist and honorary senior lecturer royal infirmary of edinburgh, uk	university of edinburgh	0
4651	mb bch bao bmed sci mrcsi phd general and colorectal surgery specialist registrar, mater misericordiae university hospital, dublin and	university hospital limerick	0
4654	s p lumley ms frcs london john l craven md frcs york mary murphy mb bch, bao, frcs (sn) consultant neurosurgeon royal free hospital, london, uk	st john s medical college	0
4655	mbchb(hon) phd frcpe frcpath consultant pathologist and honorary senior lecturer royal infi rmary of edinburgh, uk	university of edinburgh	0
4656	mb bch, bao, frcs (sn) consultant neurosurgeon royal free hospital, london, uk	royal free london nhs foundation trust	0
4657	ms dm frcs(gen) associate professor and reader in gastrointestinal surgery university of nottingham consultant in hepatopancreatobiliary surgery, nottingham university hospitals, uk	association of surgeons of great britain and ireland	0
4666	md bureau of public health wisconsin division of health madison, wi allan detsky, md, phd the toronto hospital ontario, canada	children s hospital of wisconsin	0
4667	md bureau of public health wisconsin division of health madison, wi allan detsky, md, phd the toronto hospital ontario, canada	medical college of wisconsin	0
4674	phd suny at albany albany, ny, usa	university at albany suny	0
4681	md bureau of public health madison, wi, usa	wisconsin department of health services	0
4682	md bureau of public health wisconsin division of health madison, wi allan detsky, md, phd the toronto hospital ontario, canada	university of wisconsin madison	0
4683	md harvard school of public health boston, ma lars wilhelmsen, md goteborg university gothenburg, sweden	boston university	0
4684	li, md chinese academy of medical science beijing, people's republic of china	china university of petroleum	0
4685	phd university of texas health sciences center houston, tx, usa	national institutes of health	0
4686	md howard university hospital washington, dc, usa	university of washington	0
4688	phd university of texas health sciences center houston, tx, usa	university of houston	0
4689	university of texas, arlington strategic management and organizational behavior	huazhong university of science and technology	0
4692	arizona state university, usa	state university of new york system	0
4695	the hong kong	the chinese university of hong kong	0
4702	university of technology, sydney george m. zinkhan university of georgia	university of western sydney	0
4703	louisiana state university,	iowa state university	0
4706	university of western sydney george zaccour hec montreal service management lei-yu wu	university of sydney	0
4707	victoria university of wellington jing zhu the hong kong	hong kong polytechnic university	0
4708	university of western sydney george zaccour hec montreal book essays scarlett wesley	university of sydney	0
4709	university of western sydney george zaccour hec montreal international business hans muhlbacher	university of sydney	0
4710	university of western sydney george zaccour hec montreal international business hans ma 1/4 hlbacher	university of sydney	0
4711	university of western sydney george zaccour hec montreal ters university of east anglia, uk	university of sydney	0
4712	university of texas, arlington strategic management and organizational behavior	university of science and technology beijing	0
4715	dr charles sheppard department of biological sciences universiry of warwick coventry cv4 7al, uk	united states department of agriculture	0
4718	university of the philippines, quezon city prof. j. s. gray university of oslo, norway	university of the balearic islands	0
4719	university of the philippines, quezon oty prof. j. s. gray university of oslo, norway	university of the balearic islands	0
4728	(perfection of crystals) h.h. wills physics laboratory, royal fort bristol 658 itl, uk	university of bristol	0
4742	(review4rticles) rsre, st. andrews road, great malvern, worcs. wr14 3ps. uk	university of st andrews	0
4743	(reseiy aetiis) rsre. st. andrews road. great malvern, worcs. wri4 3ps, uk	university of st andrews	0
4760	(reviest articles) rsre st andrews road, great malvern, worcs wr14 3ps, uk	university of st andrews	0
4768	(perfection of crystals) h.h. wills physics laboratory, royal fort bristol bs8 itl, uk	university of bristol	0
4781	waseda university, tokyo, japan	university of tokyo	0
4783	university of tokyo, tokyo, japan	bank of japan	0
4784	centre for economics policy research. london, england. henry rosovsky. harvard university. cambridge. ma. usa	birkbeck university of london	0
4785	bank of japan, tokyo, japan	university of tokyo	0
4787	md (la plata, argentina	national university of la plata	0
4788	department of cardiac surgery bristol royal infirmary bristol bs2 8hw, uk	university of bristol	0
4789	(new york) j. f. bach (paris, france	state university of new york system	0
4793	shanghai institute of optics and fine mechanics, chinese academy of sciences (cas) shengxin north road 900 jiading 201815 shanghai, pr china	academy of medical sciences united kingdom	0
4794	praha 6, czech republic	academy of sciences of the czech republic	0
4800	institute of industrial science university of tokyo 4-6-1 komba, meguro-ku tokyo 153-8505, japan	national institute for materials science	0
4803	shanghai institute of optics and fine mechanics, shanghai, china	university of science and technology of china	0
4804	institute of physics ascr na slovance 2 180 40 prague 8, czech republic	academy of sciences of the czech republic	0
4806	shanghai institute of optics and fine mechanics, chinese academy of sciences (cas) shengxin north road 900 jiading 201815 shanghai, pr china	garvan institute of medical research	0
4808	ewha womans university seoul, south korea abraham clearfi eld texas a&m university college station, texas, usa	seoul national university	0
4809	beijing normal university, beijing, china	ocean university of china	0
